INFO:root:episode:2500 e_greed:0.17972799999997974 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [2, 2], [3, 3], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2550 e_greed:0.17932799999997934 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2600 e_greed:0.17892799999997894 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [4, 2], [3, 3], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2650 e_greed:0.17852799999997854 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [4, 2], [2, 7], [1, 6], [3, 3], [0, 5], [0, 1]]
INFO:root:episode:2700 e_greed:0.17812799999997814 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [2, 2], [3, 3], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2750 e_greed:0.17772799999997774 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [2, 7], [3, 3], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2800 e_greed:0.17732799999997734 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [4, 7], [2, 2], [0, 5], [1, 6], [3, 3], [0, 1]]
INFO:root:episode:2850 e_greed:0.17692799999997694 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2900 e_greed:0.17652799999997654 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [4, 2], [0, 5], [1, 6], [3, 3], [0, 1]]
INFO:root:episode:2950 e_greed:0.17612799999997614 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3000 e_greed:0.17572799999997574 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3050 e_greed:0.17532799999997534 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3100 e_greed:0.17492799999997494 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [2, 2], [3, 3], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3150 e_greed:0.17452799999997454 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [2, 2], [1, 6], [3, 3], [0, 5], [0, 1]]
