time,productpage-details,productpage-reviews,reviews-ratings
344,1,1.18333,2.1875
345,1,1.11875,2.47692
346,1,1.22308,2.125
347,1,1.00625,1.85075
348,1.19403,1,2.46364
349,1,1.20909,2.07843
350,1.04575,1,1.85816
351,1.20567,1,2.33
352,1,1.14,1.96063
353,1.02362,1,2.12088
354,1,1.03297,2.14545
355,1,1.06364,2.15152
356,1,1.08081,2.13077
357,1,1.01538,2.0404
358,1,1.08081,1.92623
359,1.06557,1,2.10309
360,1,1.14545,1.71569
361,1,1.40816,1.79032
362,1.04839,1,2.34615
363,1,1.09231,1.93836
364,1.16438,1,2.20202
365,1,1.06061,2.19192
366,1,1.15152,2.37
367,1,1.07,2.26154
368,1,1.07692,2.38462
369,1,1.26154,2.18
370,1,1.22,2.36923
371,1,1.16923,2.25714
372,1,1.325,1.77397
373,1.0274,1,2.27
374,1,1.31818,1.96124
375,1.08527,1,1.90751
376,1.15607,1,2.26
377,1,1.27,2.14545
378,1,1.07273,2.24
379,1,1.09,2.03636
380,1,1.16364,1.74405
381,1,1.29231,2.24615
382,1,1.11538,2.06061
383,1.13636,1,1.81765
384,1,1.11176,2.08421
385,1.15789,1,1.96629
386,1,1,2.37
387,1,1.15,2.22308
388,1,1.16154,1.85443
389,1.20253,1,2.34066
390,1,1.32967,1.7907
