timeStamp,elapsed
1.62865E+12,445
1.62865E+12,466
1.62865E+12,757
1.62865E+12,545
1.62865E+12,570
1.62865E+12,566
1.62865E+12,475
1.62865E+12,647
1.62865E+12,506
1.62865E+12,584
1.62865E+12,591
1.62865E+12,447
1.62865E+12,588
1.62865E+12,588
1.62865E+12,616
1.62865E+12,608
1.62865E+12,607
1.62865E+12,560
1.62865E+12,617
1.62865E+12,574
1.62865E+12,560
1.62865E+12,569
1.62865E+12,658
1.62865E+12,672
1.62865E+12,593
1.62865E+12,589
1.62865E+12,547
1.62865E+12,546
1.62865E+12,644
1.62865E+12,767
1.62865E+12,454
1.62865E+12,613
1.62865E+12,580
1.62865E+12,604
1.62865E+12,579
1.62865E+12,620
1.62865E+12,593
1.62865E+12,528
1.62865E+12,610
1.62865E+12,575
1.62865E+12,514
1.62865E+12,596
1.62865E+12,672
1.62865E+12,392
1.62865E+12,678
1.62865E+12,810
1.62865E+12,614
1.62865E+12,619
1.62865E+12,461
1.62865E+12,676
1.62865E+12,640
1.62865E+12,601
1.62865E+12,502
1.62865E+12,613
1.62865E+12,601
1.62865E+12,709
1.62865E+12,475
1.62865E+12,580
