INFO:root:episode:18  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:18  step:4 Cost:28.500986193293887 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:18  step:5 Cost:35.428994082840234 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:18  step:6 Cost:43.195266272189336 min Cost:36.72337278106509 Reward:-64.71893491124248 全局reward:0 Action:[1, 5]
INFO:root:episode:19  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:19  step:2 Cost:52.071005917159766 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[3, 5]
INFO:root:episode:19  step:3 Cost:52.14497041420118 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[0, 3]
INFO:root:episode:19  step:4 Cost:46.47435897435897 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[3, 4]
INFO:root:episode:19  step:5 Cost:45.069033530571986 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[4, 2]
INFO:root:episode:19  step:6 Cost:43.035009861932934 min Cost:36.72337278106509 Reward:-63.11637080867847 全局reward:0 Action:[2, 0]
INFO:root:episode:20  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:20  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:20  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:20  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:20  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:20  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:21  step:1 Cost:13.979289940828401 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[3, 2]
INFO:root:episode:21  step:2 Cost:31.237672583826427 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:21  step:3 Cost:55.47337278106509 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[0, 1]
INFO:root:episode:21  step:4 Cost:49.33431952662721 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:21  step:5 Cost:47.92899408284023 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 3]
INFO:root:episode:21  step:6 Cost:45.89497041420118 min Cost:36.72337278106509 Reward:-91.71597633136095 全局reward:0 Action:[4, 0]
INFO:root:episode:22  step:1 Cost:13.979289940828401 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[0, 3]
INFO:root:episode:22  step:2 Cost:35.08382642998028 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[0, 1]
INFO:root:episode:22  step:3 Cost:51.67652859960552 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 5]
INFO:root:episode:22  step:4 Cost:54.240631163708095 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:22  step:5 Cost:56.01577909270217 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:22  step:6 Cost:53.9447731755424 min Cost:36.72337278106509 Reward:-172.21400394477314 全局reward:0 Action:[4, 2]
INFO:root:episode:23  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:23  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:23  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:23  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:23  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:23  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:24  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:24  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:24  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:24  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:24  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:24  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
