INFO:root:episode:790 e_greed:0.19324999999999326 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:800 e_greed:0.1931899999999932 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:810 e_greed:0.19312999999999314 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:820 e_greed:0.19306999999999308 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:830 e_greed:0.19300999999999302 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:840 e_greed:0.19294999999999296 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:850 e_greed:0.1928899999999929 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:860 e_greed:0.19282999999999284 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:870 e_greed:0.19276999999999278 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:880 e_greed:0.19270999999999272 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:890 e_greed:0.19264999999999266 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:900 e_greed:0.1925899999999926 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:910 e_greed:0.19252999999999254 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:920 e_greed:0.19246999999999248 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:930 e_greed:0.19240999999999242 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:940 e_greed:0.19234999999999236 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:950 e_greed:0.1922899999999923 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:960 e_greed:0.19222999999999224 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:970 e_greed:0.19216999999999218 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:980 e_greed:0.19210999999999212 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:990 e_greed:0.19204999999999206 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:1000 e_greed:0.191989999999992 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:1010 e_greed:0.19192999999999194 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:1020 e_greed:0.19186999999999188 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:1030 e_greed:0.19180999999999182 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:1040 e_greed:0.19174999999999176 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 1], [1, 0], [4, 4], [0, 2]]
INFO:root:episode:1050 e_greed:0.1916899999999917 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1060 e_greed:0.19162999999999164 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [0, 2], [1, 0]]
INFO:root:episode:1070 e_greed:0.19156999999999158 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1080 e_greed:0.19150999999999152 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1090 e_greed:0.19144999999999146 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1100 e_greed:0.1913899999999914 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1110 e_greed:0.19132999999999134 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
